,main_category,word,value,tag
2055,cat1,pointure,1,NOUN
2054,cat1,déçuje,1,NOUN
2053,cat2,assembler,1,VERB
2052,cat2,boutique,1,NOUN
2051,cat1,dénoncer,1,VERB
2050,cat1,canapé,1,NOUN
2049,cat2,davantage,1,ADV
2048,cat2,signer,1,VERB
2047,cat1,feuille,1,NOUN
2046,cat1,forfait,1,VERB
2045,cat1,disque,1,ADJ
2044,cat1,black,1,NOUN
2043,cat1,réclamer,1,VERB
2042,cat1,monde,1,NOUN
2041,cat2,amazon,1,PROPN
2040,cat1,salut,1,VERB
2039,cat1,fermé,1,ADV
2038,cat2,gère,1,VERB
2037,cat2,sollicitation,1,NOUN
2036,cat1,aboutie,1,NOUN
2002,cat1,dépenser,1,VERB
2000,cat1,enchaînent,1,ADV
2066,cat2,baltrinque,1,NOUN
1964,cat2,italien,1,ADJ
1962,cat1,sans,1,ADP
1961,cat2,dolce,1,ADP
1960,cat1,jardin,1,VERB
1959,cat1,financier,1,ADJ
1958,cat1,désagrément,1,ADV
1957,cat1,internet-,1,PROPN
1956,cat1,contrairement,1,ADV
1955,cat2,fidele,1,VERB
1954,cat1,imprimer,1,VERB
1953,cat1,personn,1,ADJ
1952,cat2,gaastra,1,VERB
1951,cat2,huissier,1,NOUN
1950,cat2,envoyéje,1,VERB
1949,cat1,association,1,NOUN
1948,cat1,dos,1,NOUN
1947,cat2,appelle,1,VERB
1946,cat1,plein,1,NOUN
1945,cat1,nullissime,1,VERB
1944,cat1,attendai,1,VERB
1943,cat1,bah,1,NOUN
1942,cat2,poussoir,1,VERB
1941,cat1,carton,1,PROPN
1939,cat1,plateforme,1,ADJ
1938,cat1,homme,1,NOUN
1937,cat1,aujourd'hui,1,ADV
1936,cat1,factur,1,ADJ
1935,cat1,hall,1,NOUN
1934,cat1,assez,1,ADV
1933,cat1,correspondant,1,VERB
1963,cat1,degradation,1,NOUN
1965,cat1,cauchemar,1,VERB
1999,cat1,préparation,1,NOUN
1966,cat2,demandant,1,ADJ
1998,cat2,enregistrement,1,VERB
1997,cat2,xxs,1,PROPN
1996,cat1,rembourser,1,VERB
1995,cat2,vis-à-vis,1,ADV
1994,cat1,fournir,1,VERB
1993,cat2,regrouper,1,VERB
1992,cat1,surtout,1,ADV
1991,cat1,pense,1,NOUN
1988,cat2,épouse,1,NOUN
1987,cat1,technique,1,ADJ
1986,cat2,montage,1,NOUN
1985,cat2,boycotton,1,NOUN
1984,cat2,comptabilité,1,NOUN
1983,cat2,dissimuler,1,VERB
1982,cat2,transmettre,1,VERB
1981,cat1,renouveler,1,VERB
1980,cat1,contenir,1,VERB
1979,cat1,dégringolade,1,NOUN
1978,cat2,party,1,VERB
1977,cat1,peut-être,1,ADV
1976,cat2,sia,1,SPACE
1975,cat1,pullman,1,VERB
1974,cat1,réactif,1,ADJ
1973,cat1,️,1,NOUN
1972,cat2,enfer,1,NOUN
1971,cat2,naïvemer,1,VERB
1970,cat2,volontaire,1,ADJ
